DEBUG: [2023-04-05 18:27:18,268]: __main__: 449 - DEBUG_MODE[True]
DEBUG: [2023-04-05 18:27:52,312]: __main__: 378 - BATTLE_MODE is now True
DEBUG: [2023-04-05 18:28:03,653]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:03,806]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:03,958]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:04,083]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:04,227]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:04,350]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:04,491]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:04,684]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:04,909]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:05,136]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:05,250]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:05,433]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:05,533]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:05,722]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:05,895]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:06,091]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:06,239]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:06,404]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:06,512]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:06,645]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:06,828]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:07,003]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:07,112]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:07,295]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:07,464]: __main__: 64 - to_move = (-1, 0)
DEBUG: [2023-04-05 18:28:07,711]: __main__: 60 - original_distance = (40, -3)
DEBUG: [2023-04-05 18:28:07,711]: __main__: 64 - to_move = (8, -1)
DEBUG: [2023-04-05 18:28:07,811]: __main__: 64 - to_move = (5, -1)
DEBUG: [2023-04-05 18:28:07,954]: __main__: 64 - to_move = (4, -1)
DEBUG: [2023-04-05 18:28:08,136]: __main__: 64 - to_move = (3, -1)
DEBUG: [2023-04-05 18:28:08,323]: __main__: 64 - to_move = (3, -1)
DEBUG: [2023-04-05 18:28:08,414]: __main__: 64 - to_move = (2, -1)
DEBUG: [2023-04-05 18:28:08,579]: __main__: 64 - to_move = (2, -1)
DEBUG: [2023-04-05 18:28:08,724]: __main__: 64 - to_move = (2, -1)
DEBUG: [2023-04-05 18:28:08,917]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:28:09,027]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:28:09,163]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:28:09,247]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:28:09,364]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:28:09,501]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:28:09,659]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:28:09,803]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:28:09,933]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:28:10,001]: __main__: 64 - to_move = (1, -1)
DEBUG: [2023-04-05 18:28:10,164]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:10,242]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:10,423]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:10,540]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:10,673]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:10,844]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:10,962]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:11,098]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:11,222]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:11,319]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:11,490]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:11,585]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:11,722]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:11,814]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:11,929]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:12,063]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:12,211]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:12,313]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:12,441]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:12,550]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:12,656]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:12,789]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:12,904]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:13,046]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:13,137]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:13,279]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:13,389]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:13,533]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:13,665]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:13,823]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:14,145]: __main__: 60 - original_distance = (1, 45)
DEBUG: [2023-04-05 18:28:14,145]: __main__: 64 - to_move = (0, 9)
DEBUG: [2023-04-05 18:28:14,309]: __main__: 64 - to_move = (0, 6)
DEBUG: [2023-04-05 18:28:14,607]: __main__: 64 - to_move = (0, 5)
DEBUG: [2023-04-05 18:28:14,804]: __main__: 64 - to_move = (0, 4)
DEBUG: [2023-04-05 18:28:14,948]: __main__: 64 - to_move = (0, 3)
DEBUG: [2023-04-05 18:28:15,131]: __main__: 64 - to_move = (0, 3)
DEBUG: [2023-04-05 18:28:15,313]: __main__: 64 - to_move = (0, 2)
DEBUG: [2023-04-05 18:28:15,449]: __main__: 64 - to_move = (0, 2)
DEBUG: [2023-04-05 18:28:15,636]: __main__: 64 - to_move = (0, 2)
DEBUG: [2023-04-05 18:28:15,803]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:15,993]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:16,127]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:16,257]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:16,412]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:16,565]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:16,742]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:16,963]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:17,111]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:17,256]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:17,382]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:17,533]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:17,623]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:17,784]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:17,932]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:18,132]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:18,229]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:18,334]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:18,514]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:18,614]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:18,769]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:18,914]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:19,084]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:19,251]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:19,409]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:19,610]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:19,709]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:19,808]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:19,983]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:20,194]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:20,362]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:20,515]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:20,683]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:20,889]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:21,033]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:21,178]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:21,405]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:21,654]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:21,876]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:22,262]: __main__: 60 - original_distance = (1, -3)
DEBUG: [2023-04-05 18:28:22,263]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:22,479]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:22,674]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:22,797]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:22,931]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:23,156]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:23,281]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:23,507]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:23,638]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:23,763]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:23,949]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:24,150]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:24,293]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:24,483]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:24,701]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:24,862]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:25,009]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:25,191]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:25,265]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:25,358]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:25,465]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:25,622]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:25,716]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:25,889]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:26,057]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:26,261]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:26,522]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:26,746]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:26,923]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:27,102]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:27,297]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:27,416]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:27,587]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:27,710]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:27,905]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:28,069]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:28,248]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:28,397]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:28,575]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:28,748]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:28,905]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:29,065]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:29,210]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:29,354]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:29,608]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:29,928]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:30,313]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:30,690]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:31,225]: __main__: 60 - original_distance = (1, 45)
DEBUG: [2023-04-05 18:28:31,225]: __main__: 64 - to_move = (0, 9)
DEBUG: [2023-04-05 18:28:31,368]: __main__: 64 - to_move = (0, 6)
DEBUG: [2023-04-05 18:28:31,531]: __main__: 64 - to_move = (0, 5)
DEBUG: [2023-04-05 18:28:31,725]: __main__: 64 - to_move = (0, 4)
DEBUG: [2023-04-05 18:28:31,888]: __main__: 64 - to_move = (0, 3)
DEBUG: [2023-04-05 18:28:32,038]: __main__: 64 - to_move = (0, 3)
DEBUG: [2023-04-05 18:28:32,169]: __main__: 64 - to_move = (0, 2)
DEBUG: [2023-04-05 18:28:32,336]: __main__: 64 - to_move = (0, 2)
DEBUG: [2023-04-05 18:28:32,473]: __main__: 64 - to_move = (0, 2)
DEBUG: [2023-04-05 18:28:32,679]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:32,844]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:33,023]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:33,179]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:33,302]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:33,426]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:33,584]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:33,735]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:33,870]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:34,002]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:34,108]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:34,237]: __main__: 64 - to_move = (0, 1)
DEBUG: [2023-04-05 18:28:34,395]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:34,603]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:34,786]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:34,905]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:35,048]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:35,179]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:35,332]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:35,492]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:35,694]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:35,822]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:35,970]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:36,102]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:36,214]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:36,363]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:36,542]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:36,694]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:36,812]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:36,928]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:37,065]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:37,209]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:37,339]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:37,473]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:37,651]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:37,769]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:37,894]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:38,018]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:38,160]: __main__: 64 - to_move = (0, 0)
DEBUG: [2023-04-05 18:28:38,408]: __main__: 60 - original_distance = (1, -3)
DEBUG: [2023-04-05 18:28:38,411]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:38,546]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:38,677]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:38,798]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:38,911]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:39,027]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:39,147]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:39,278]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:39,383]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:39,535]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:39,678]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:39,874]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:40,065]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:40,180]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:40,295]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:40,404]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:40,515]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:40,643]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:40,779]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:40,902]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:41,018]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:41,139]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:41,244]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:41,375]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:41,500]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:41,609]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:41,735]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:41,853]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:41,965]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:42,074]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:42,235]: __main__: 64 - to_move = (0, -1)
DEBUG: [2023-04-05 18:28:42,395]: __main__: 64 - to_move = (0, -1)
